NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
01154,1,0.25,cup,30,nan,nan
01154,2,1,cup,120,nan,nan
01155,1,1,cup,68,nan,nan
01155,2,1,envelope (1-1/3 cup),91,nan,nan
01156,1,1,oz,28.35,nan,nan
01157,1,1,oz,28.35,nan,nan
01159,1,1,oz,28.35,nan,nan
01160,1,1,oz,28.35,nan,nan
01160,2,0.50,lb,227,nan,nan
01161,1,1,"cup, shredded",113,nan,nan
01161,2,1,oz,28.35,nan,nan
01161,3,1,cubic inch,18,nan,nan
01161,4,1,slice,28,nan,nan
01161,5,3,oz,85,nan,nan
01164,1,2,tbsp,30,nan,nan
01164,2,1,cup,243,nan,nan
01165,1,1,"cup, crumbled",132,nan,nan
01165,2,1,oz,28.35,nan,nan
01166,1,1,"cup, diced",132,nan,nan
01166,2,1,"cup, shredded",113,nan,nan
01166,3,1,oz,28.35,nan,nan
01166,4,1,cubic inch,18,nan,nan
01166,5,1,slice (1 oz),28,nan,nan
01167,1,1,"cup, diced",132,nan,nan
01167,2,1,"cup, shredded",113,nan,nan
01167,3,1,oz,28.35,nan,nan
01167,4,1,cubic inch,17,nan,nan
01167,5,1,slice (1 oz),28,nan,nan
01168,1,1,"cup, diced",132,nan,nan
01168,2,1,"cup, shredded",113,nan,nan
01168,3,1,oz,28.35,nan,nan
01168,4,1,cubic inch,17,nan,nan
01168,5,1,slice (1 oz),28,nan,nan
01169,1,1,"cup, diced",132,nan,nan
01169,2,1,"cup, shredded",113,nan,nan
01169,3,1,oz,28.35,nan,nan
01169,4,1,cubic inch,17,nan,nan
01169,5,1,slice (1 oz),28,nan,nan
01171,1,1,oz,28,nan,nan
01172,1,1,oz,28,nan,nan
01173,1,1,oz,28,nan,nan
01174,1,1,cup,246,nan,nan
01174,2,1,quart,984,nan,nan
01175,1,1,cup,244,nan,nan
01175,2,1,quart,976,nan,nan
01178,1,1,tablespoon,12,nan,nan
01178,2,1,cup,230,nan,nan
01179,1,1,tablespoon,12,nan,nan
01179,2,1,cup,230,nan,nan
01180,1,1,tablespoon,12,nan,nan
01180,2,1,cup,230,nan,nan
01184,1,1,container (6 oz),170,nan,nan
01185,1,1,tablespoon,5,nan,nan
01186,1,1,tbsp,18,6,0.25
01187,1,1,container (6 oz),170,nan,nan
01188,1,2,tbsp,33,nan,nan
01189,1,2,tbsp,35,nan,nan
01190,1,1,slice,21,nan,nan
01191,1,1,oz,28,nan,nan
01192,1,1,oz,28,nan,nan
01193,1,2,tbsp,31,nan,nan
01194,1,2,tbsp,32,nan,nan
01199,1,2,tbsp,29,1,nan
01199,2,1,pint,484,1,nan
01200,1,1,tablespoon,4,nan,nan
01200,2,1,cup,75,nan,nan
01202,1,1,cup,250,nan,nan
01202,2,1,fl oz,31.20,nan,nan
01202,3,1,quart,1000,nan,nan
01203,1,1,container (6 oz),170,nan,nan
01203,2,1,cup (8 fl oz),245,nan,nan
01203,3,1,container (8 oz),227,nan,nan
01204,1,1,cup,100,nan,nan
01204,2,1,tbsp,5,nan,nan
01204,3,1,oz,28.35,nan,nan
01205,1,1,tbsp,15,1,nan
01206,1,4,tsp,12,1,nan
01208,1,1,"cup, diced",132,nan,nan
01208,2,1,oz,28.35,nan,nan
01208,3,1,"cup, shredded",113,nan,nan
01208,4,1,cubic inch,14.30,nan,nan
01208,5,1,slice (1 oz),28,nan,nan
01208,6,1,package (6 oz),170,nan,nan
01209,1,1,oz,28.35,1,nan
01209,2,0.25,cup,28,1,nan
01211,1,1,cup,244,nan,nan
01211,2,1,tbsp,15,nan,nan
01211,3,1,fl oz,30.50,nan,nan
01211,4,1,quart,976,nan,nan
01212,1,1,cup,128,nan,nan
01212,2,0.25,cup,32,nan,nan
01215,1,1,slice 3/4 oz,21,nan,nan
01215,2,1,slice 2/3 oz,19,nan,nan
01216,1,1,container (6 oz),170,nan,nan
01216,2,1,container (4.4 oz),125,nan,nan
01216,3,1,container (5 oz),142,nan,nan
01216,4,1,cup (8 fl oz),245,nan,nan
01216,5,1,container (8 oz),227,nan,nan
01216,6,0.50,container (4 oz),113,nan,nan
01217,1,1,container (6 oz),170,nan,nan
01217,2,1,cup (8 fl oz),245,nan,nan
01217,3,1,container (8 oz),227,nan,nan
01217,5,1,"container, Dannon Sprinkl'ins (4.1 oz)",116,nan,nan
01217,6,0.50,container (4 oz),113,nan,nan
01218,1,1,container (6 oz),170,nan,nan
01218,2,1,container (4.4 oz),125,nan,nan
01218,3,1,cup (8 fl oz),245,nan,nan
01218,4,1,container (8 oz),227,nan,nan
01219,1,1,container (6 oz),170,nan,nan
01219,2,1,cup (8 fl oz),245,nan,nan
01219,3,1,container (8 oz),227,nan,nan
01220,1,1,container (6 oz),170,nan,nan
01220,2,1,container (8 oz),227,nan,nan
01220,3,0.50,container (4 oz),113,nan,nan
01220,4,1,cup (8 fl oz),245,nan,nan
01221,1,1,container (6 oz),170,nan,nan
01222,1,1,container (6 oz),170,nan,nan
01223,1,1,tbsp,11,nan,nan
01224,1,2,scoop,50,1,nan
01225,1,1,tbsp,19,4,2.24
01226,1,0.25,cup,60,nan,nan
01226,2,1,cup,240,nan,nan
01227,1,1,cup grated,97,12,13.24
01228,1,1,"cup, crumbled",122,12,8.56
01229,1,1,"cup, crumbled",118,12,5.52
01230,1,1,cup,245,nan,nan
01231,1,1,container,170,nan,nan
01235,1,0.50,cup,68,nan,nan
01236,1,0.50,cup,86,nan,nan
01237,1,1,bar,50,nan,nan
01238,1,1,serving,70,nan,nan
01239,1,1,serving,82,1,nan
01240,1,1,unit,96,1,nan
01241,1,1,serving,70,1,nan
01242,1,1,serving,70,1,nan
01243,1,0.50,cup,68,1,nan
01244,1,1,bar,68,2,nan
01250,1,1,can,227,1,nan
01251,1,0.25,cup shredded,28,nan,nan
01252,1,1,slice (2/3 oz),19,nan,nan
01252,2,1,slice (3/4 oz),21,nan,nan
01253,1,1,oz,28.35,nan,nan
01253,2,1,slice (3/4 oz),21,nan,nan
01253,3,1,slice (1 oz),28,nan,nan
01253,4,1,cubic inch,18,nan,nan
01253,5,1,"cup, diced",140,nan,nan
01253,6,1,"cup, shredded",113,nan,nan
01253,7,1,"cup, melted",244,nan,nan
01254,1,1,cup,113,nan,nan
01254,2,1,oz,28.35,nan,nan
01254,3,1,slice (3/4 oz),21,nan,nan
01254,4,1,package (8 oz),227,nan,nan
01255,1,1,oz,28,nan,nan
01256,1,1,container,170,1,nan
01258,1,1,"cup, sifted",107,nan,nan
01258,2,1,tbsp,7,nan,nan
01259,1,1,piece,21,12,0.48
01259,2,1,package,566,8,208.42
01260,1,1,slice,21,9,2.14
01263,1,1,medium,298,1,nan
